device_id,employee_id,punch_time,verify_mode
F23,23,2006-07-01 02:53:39,Fingerprint
F23,23,2006-07-01 11:02:40,Fingerprint
F23,23,2006-07-01 02:51:39,Fingerprint
F23,23,2006-07-01 11:02:40,Fingerprint
F23,25,2006-07-01 02:55:40,Fingerprint
F23,25,2006-07-01 11:03:40,Fingerprint
F23,23,2006-07-01 02:54:40,Fingerprint
F23,23,2006-07-01 11:07:40,Fingerprint
F23,25,2006-07-01 02:54:40,Fingerprint
F23,25,2006-07-01 11:05:40,Fingerprint
F23,23,2006-07-02 03:46:40,Fingerprint
F23,23,2006-07-02 11:08:39,Fingerprint
F23,25,2006-07-02 02:52:40,Fingerprint
F23,25,2006-07-02 11:07:40,Fingerprint
F23,23,2006-07-02 02:56:40,Fingerprint
F23,23,2006-07-02 11:00:40,Fingerprint
F23,25,2006-07-02 02:54:40,Fingerprint
F23,25,2006-07-02 11:10:40,Fingerprint
F23,23,2006-07-02 02:58:40,Fingerprint
F23,23,2006-07-02 11:12:39,Fingerprint
F23,25,2006-07-02 02:53:39,Fingerprint
F23,25,2006-07-02 11:05:40,Fingerprint
F23,23,2006-07-03 02:56:40,Fingerprint
F23,23,2006-07-03 10:37:40,Fingerprint
F23,24,2006-07-03 02:54:40,Fingerprint
F23,24,2006-07-03 11:05:40,Fingerprint
F23,25,2006-07-03 03:08:39,Fingerprint
F23,25,2006-07-03 07:13:40,Fingerprint
F23,23,2006-07-03 02:55:40,Fingerprint
F23,23,2006-07-03 11:07:40,Fingerprint
F23,25,2006-07-03 02:52:40,Fingerprint
F23,25,2006-07-03 11:00:40,Fingerprint
F23,24,2006-07-03 02:49:39,Fingerprint
F23,24,2006-07-03 11:18:40,Fingerprint
F23,23,2006-07-03 03:32:40,Fingerprint
F23,23,2006-07-03 11:01:40,Fingerprint
F23,24,2006-07-03 02:49:39,Fingerprint
F23,24,2006-07-03 11:18:40,Fingerprint
F23,25,2006-07-03 02:49:39,Fingerprint
F23,25,2006-07-03 11:03:40,Fingerprint
F23,23,2006-07-04 03:51:40,Fingerprint
F23,23,2006-07-04 11:00:40,Fingerprint
F23,24,2006-07-04 03:02:40,Fingerprint
F23,24,2006-07-04 07:00:40,Fingerprint
F23,25,2006-07-04 02:53:39,Fingerprint
F23,25,2006-07-04 11:04:39,Fingerprint
F23,25,2006-07-04 02:50:40,Fingerprint
F23,25,2006-07-04 11:16:40,Fingerprint
F23,24,2006-07-04 02:58:40,Fingerprint
F23,24,2006-07-04 11:13:40,Fingerprint
F23,23,2006-07-04 02:57:39,Fingerprint
F23,23,2006-07-04 11:06:39,Fingerprint
F23,24,2006-07-04 03:10:40,Fingerprint
F23,24,2006-07-04 07:28:40,Fingerprint
F23,25,2006-07-04 02:58:40,Fingerprint
F23,25,2006-07-04 10:11:40,Fingerprint
F23,23,2006-07-05 03:09:40,Fingerprint
F23,23,2006-07-05 07:21:39,Fingerprint
F23,24,2006-07-05 02:57:39,Fingerprint
F23,24,2006-07-05 11:06:39,Fingerprint
F23,23,2006-07-05 02:53:39,Fingerprint
F23,23,2006-07-05 11:13:40,Fingerprint
